[14.07.2023 | 11:51:17]: Попытка подключения к БД...;
[14.07.2023 | 11:51:17]: Успешное подключение к БД!;
[14.07.2023 | 11:51:24]: Попытка подключения к БД...;
[14.07.2023 | 11:51:24]: Успешное подключение к БД!;
[14.07.2023 | 11:51:58]: Попытка подключения к БД...;
[14.07.2023 | 11:51:58]: Успешное подключение к БД!;
[14.07.2023 | 11:52:24]: Попытка подключения к БД...;
[14.07.2023 | 11:52:24]: Успешное подключение к БД!;
[14.07.2023 | 11:54:46]: Попытка подключения к БД...;
[14.07.2023 | 11:54:46]: Успешное подключение к БД!;
[14.07.2023 | 11:56:45]: Попытка подключения к БД...;
[14.07.2023 | 11:56:45]: Успешное подключение к БД!;
